ID da resposta;Recebida em;Status;Nome completo;E-mail;CPF ou CNPJ;CEP;Conte o que você precisa;De 0 a 10, qual a urgência?
1be609c3-f59a-4dd0-8c01-72de8bf82ab8;2026-08-04T17:00:35.577Z;reviewed;Carla Dias;carla@exemplo.com.br;;;;
902b44a2-6a5c-4fab-b755-2b505945232f;2026-08-04T17:00:35.567Z;new;Bruno Lima;bruno@outro.com.br;;;;
68edcebe-4ba6-49ae-8e7b-20ec9e247076;2026-08-04T17:00:34.368Z;new;A;a@b.com;;;;
d3e53eb5-24ce-443d-8d21-cc03df2a2733;2026-08-04T17:00:34.201Z;new;Teste;teste@exemplo.com;;;;
a47a917c-b795-4ddd-b03f-984a7614a760;2026-08-04T17:00:34.145Z;new;Joana Respondente;joana@exemplo.com.br;52998224725;;;
ce491795-dd1f-4e40-9e48-09e477965454;2026-08-04T16:59:11.220Z;reviewed;Carla Dias;carla@exemplo.com.br;;;;
b85be4e1-8700-4b99-84b8-aff55bafb97f;2026-08-04T16:59:11.208Z;new;Bruno Lima;bruno@outro.com.br;;;;
5e1f42fb-96a1-4a50-8385-af364718a459;2026-08-04T16:59:10.010Z;new;A;a@b.com;;;;
42ed4c09-9177-4261-bb55-9d4f84132cd7;2026-08-04T16:59:09.855Z;new;Teste;teste@exemplo.com;;;;
b3b5c2f0-23ac-4ce6-a087-b5fb7715746d;2026-08-04T16:59:09.797Z;new;Joana Respondente;joana@exemplo.com.br;52998224725;;;
0d8526da-0440-4083-9a10-7a227a093729;2026-08-04T16:56:51.113Z;new;A;a@b.com;;;;
8e07a549-1c1f-4ee4-8850-eeb1b3e94a80;2026-08-04T16:56:50.964Z;new;Teste;teste@exemplo.com;;;;
b6f29376-9b2a-4539-9290-c77aee798079;2026-08-04T16:56:50.912Z;new;Joana Respondente;joana@exemplo.com.br;52998224725;;;
d7a43c6d-2365-45b5-98e6-28e40b04369b;2026-08-04T16:56:47.043Z;reviewed;Carla Dias;carla@exemplo.com.br;;;;
7f336f8a-3f41-4527-81c0-06c06d227177;2026-08-04T16:56:47.032Z;new;Bruno Lima;bruno@outro.com.br;;;;
cfda5358-ddd6-459f-b898-25f1bef7a052;2026-08-04T16:56:20.498Z;new;A;a@b.com;;;;
17d90772-0c13-4ac8-ab85-8c30e4184c97;2026-08-04T16:56:20.330Z;new;Teste;teste@exemplo.com;;;;
af6d6b01-d771-402a-b572-64fce745a46c;2026-08-04T16:56:20.268Z;new;Joana Respondente;joana@exemplo.com.br;52998224725;;;
62ccdb9f-e320-4998-a238-39cba0dea458;2026-08-04T16:56:16.245Z;reviewed;Carla Dias;carla@exemplo.com.br;;;;
63fb498d-0556-4656-8c29-3c52f715865a;2026-08-04T16:56:16.234Z;new;Bruno Lima;bruno@outro.com.br;;;;
a8ab5102-7c9a-4b34-bed6-799555347856;2026-08-04T16:56:13.365Z;reviewed;Carla Dias;carla@exemplo.com.br;;;;
83942e31-1600-40d6-b678-3712cf945186;2026-08-04T16:56:13.353Z;new;Bruno Lima;bruno@outro.com.br;;;;
cf30fcb2-2e0f-49b7-b3dd-ed0fd2eade5e;2026-08-04T16:56:12.097Z;new;A;a@b.com;;;;
af5b6c3f-ef8a-4390-bda4-f46ac36979b4;2026-08-04T16:56:11.921Z;new;Teste;teste@exemplo.com;;;;
c0d6a82a-a8d0-41df-9fa2-7415bd7e5994;2026-08-04T16:56:11.858Z;new;Joana Respondente;joana@exemplo.com.br;52998224725;;;
8681f49c-db66-47bc-9626-51b8c91c8515;2026-08-04T16:53:13.939Z;new;;;;;;
